Image,Acc,F1,Jaccard,Recall,Precision
01_dr,0.998460534,0.943080199,0.892291163,0.951589802,0.934721441
01_g,0.998458615,0.936234416,0.880113467,0.940791574,0.931721195
01_h,0.997974893,0.934727464,0.877453827,0.982314694,0.891537826
02_dr,0.990669149,0.467170887,0.304776888,0.332656884,0.784320942
02_g,0.998988406,0.95990261,0.922896854,0.960121766,0.959683554
02_h,0.998504684,0.95168393,0.90782156,0.931407066,0.972863302
03_dr,0.997030482,0.878390064,0.783151107,0.833134506,0.928844555
03_g,0.997422067,0.917612416,0.847766946,0.848536419,0.998931481
03_h,0.999205313,0.975955396,0.953039927,0.979025868,0.972904122
04_dr,0.998675522,0.948322349,0.901723401,0.988446526,0.911328631
04_g,0.998711993,0.955453761,0.914707004,0.985753425,0.926961226
04_h,0.999128532,0.972075286,0.945667784,0.969213786,0.974953732
05_dr,0.999353117,0.967698649,0.937418756,0.987480438,0.948693855
05_g,0.998905866,0.956713244,0.917018489,0.950648959,0.962855396
05_h,0.99794226,0.935343788,0.878540675,0.896727189,0.977436027
06_dr,0.997345286,0.884932191,0.793612894,0.828607043,0.949473308
06_g,0.998784936,0.954522595,0.913001649,0.921231452,0.990310078
06_h,0.99884828,0.954400365,0.91277802,0.959944963,0.94891945
07_dr,0.998610258,0.949504812,0.903864029,0.92398534,0.976473964
07_g,0.998268581,0.939536131,0.88596713,0.999287038,0.886527514
07_h,0.996688805,0.89178847,0.804709612,0.897814829,0.885842473
08_dr,0.978520424,0.510755509,0.342962832,0.93381295,0.351507492
08_g,0.998489327,0.943965824,0.893878101,0.950530542,0.937491161
08_h,0.998921222,0.962573255,0.927846964,0.963086354,0.962060703
09_dr,0.997876996,0.882789318,0.790172643,0.793484473,0.994745641
09_g,0.998379914,0.933741561,0.875717862,0.984928784,0.88761194
09_h,0.997577549,0.911994421,0.838225868,0.856002095,0.975824504
10_dr,0.997199401,0.881275938,0.787750946,0.994855778,0.790972831
10_g,0.998909705,0.956680903,0.916959064,0.98569857,0.929322863
10_h,0.9993416,0.97556806,0.952301488,0.980526919,0.970659107
11_dr,0.99839527,0.935344161,0.878541334,0.987104146,0.888741917
11_g,0.99880605,0.960831234,0.924615198,0.96301439,0.958657954
11_h,0.998694717,0.94945741,0.903778124,0.912298243,0.989772199
12_dr,0.993187577,0.439602084,0.281724347,0.281724347,1
12_g,0.997061195,0.87320911,0.774952227,0.775180121,0.999620781
12_h,0.998207156,0.933513667,0.875317047,0.98720265,0.885363219
13_dr,0.996732955,0.763479711,0.617442122,0.617442122,1
13_g,0.997268504,0.879986506,0.785692771,0.9984689,0.786640531
13_h,0.998495086,0.939365816,0.885664285,0.992482432,0.891645867
14_dr,0.998324248,0.924617909,0.859804079,0.952499555,0.898322148
14_g,0.996803977,0.855129209,0.746922025,0.963340521,0.768773467
14_h,0.998015203,0.917293233,0.847222222,0.976498638,0.864856712
15_dr,0.992028179,0.730656982,0.57561823,0.939616347,0.597729202
15_g,0.998126536,0.932522124,0.87357513,0.881453405,0.989872303
15_h,0.998763821,0.942458899,0.891179453,0.892687881,0.998107494
Mean,0.997431825,0.897954208,0.83452959,0.90050472,0.923268233
