Image,Acc,F1,Jaccard,Recall,Precision
01_test,0.959037781,0.704545455,0.543859649,0.918831635,0.571307452
02_test,0.967048645,0.788636586,0.651032198,0.924502323,0.687588002
03_test,0.966274261,0.697960439,0.536051637,0.598208011,0.837638376
04_test,0.972663879,0.79745619,0.663141071,0.916038961,0.706056056
05_test,0.975486755,0.801825695,0.669206218,0.870788398,0.742984512
06_test,0.972740173,0.787536421,0.649534085,0.859776681,0.726494789
07_test,0.969787598,0.770221655,0.626309333,0.89586286,0.675487253
08_test,0.970596313,0.751883088,0.602413989,0.841062941,0.679802095
09_test,0.975440979,0.755617978,0.607223476,0.800402091,0.71557984
10_test,0.970581055,0.749902711,0.59987548,0.903210687,0.641086776
11_test,0.966003418,0.736518448,0.582927742,0.930176985,0.609602114
12_test,0.968044281,0.748067727,0.597530508,0.900970733,0.63953309
13_test,0.96805191,0.768818837,0.624456302,0.899844921,0.671100188
14_test,0.965316772,0.721957187,0.564892802,0.931429022,0.589404304
15_test,0.968971252,0.702029453,0.540867013,0.873234302,0.586952527
16_test,0.965278625,0.735006405,0.581035673,0.878121739,0.632003204
17_test,0.968330383,0.723248217,0.566475196,0.798469012,0.660979771
18_test,0.962310791,0.69876212,0.536997985,0.90278106,0.569957722
19_test,0.962265015,0.708269435,0.548310502,0.951580949,0.564047161
20_test,0.963256836,0.685290466,0.521248571,0.91119993,0.549143845
Mean,0.969475428,0.757514366,0.610758782,0.863319359,0.686096696
