Image,Acc,F1,Jaccard,Recall,Precision
01_test,0.996650696,0.90372807,0.824364873,0.999757399,0.824529812
02_test,0.994297028,0.824551109,0.701477636,0.746335245,0.921080231
03_test,0.99527359,0.838271766,0.721573034,0.721573034,1
04_test,0.99281311,0.509885536,0.342178771,1,0.342178771
05_test,0.996814728,0.909602685,0.834193805,0.893259622,0.926554918
06_test,0.998184204,0.947181536,0.899662732,0.969559291,0.925813449
07_test,0.996906281,0.851274528,0.741060026,0.807023644,0.900659682
08_test,0.980819702,0.398995936,0.249216067,1,0.249216067
09_test,0.991348267,0.714429615,0.555729677,0.555729677,1
10_test,0.999176025,0.976169462,0.953448276,0.956540541,0.996620861
11_test,0.987651825,0.480333922,0.316078597,0.316078597,1
12_test,0.989646912,0.691099476,0.528,0.528,1
13_test,0.999065399,0.970697285,0.943062979,0.98423478,0.957527135
14_test,0.996856689,0.900242131,0.818582122,0.819484241,0.998656997
15_test,0.994457245,0.814027902,0.686380315,0.929281122,0.724208609
16_test,0.998130798,0.950901804,0.906399236,0.920822822,0.983012223
17_test,0.985015869,0.429732869,0.273668639,1,0.273668639
18_test,0.98336792,0.244629245,0.139360442,1,0.139360442
19_test,0.997718811,0.930367955,0.869801872,0.882093177,0.98423257
20_test,0.998806,0.962275521,0.927293844,0.95047619,0.974371491
Mean,0.993678623,0.766435642,0.652161847,0.854804212,0.787781437
