,Image,Acc,F1,Jaccard,Recall,Precision
0,01_test,0.9306755065917969,0.47611634812188297,0.31243615451553103,0.93872911219734,0.3189402131932643
1,02_test,0.9400367736816406,0.5675534402597044,0.39621264500268877,0.9361103548416372,0.4072246348203711
2,03_test,0.955596923828125,0.561284486657621,0.39012889028607356,0.6896998888477214,0.4731825114387392
3,04_test,0.94683837890625,0.5648263802148389,0.39355961705831155,0.9262597296190086,0.40628930817610065
4,05_test,0.9536514282226562,0.579206206275542,0.4076638065522621,0.8867444326617179,0.4300555441267229
5,06_test,0.9474983215332031,0.5502140592829831,0.37951399846715655,0.8733271086212263,0.40162213740458014
6,07_test,0.9459724426269531,0.5402369745171238,0.3700853940579968,0.8990815775256618,0.38612529002320184
7,08_test,0.9526214599609375,0.5458534444931988,0.37537718768859385,0.8444394162235547,0.4032632773245448
8,09_test,0.9576072692871094,0.5389370617765423,0.368866424352567,0.8263358778625954,0.39986455703995566
9,10_test,0.9480514526367188,0.5237462404700286,0.3547806311001611,0.9262741217219198,0.3650901999024866
10,11_test,0.941741943359375,0.5112647209421404,0.34342218400687874,0.9386603995299647,0.3513061834813968
11,12_test,0.9450340270996094,0.522327200397812,0.35347960694575314,0.9014761414349468,0.36768412209465134
12,13_test,0.9413871765136719,0.537212734556188,0.36725281060824444,0.9091650525028036,0.38124145006839943
13,14_test,0.9436264038085938,0.5039607948442535,0.3368633610051604,0.9391967971975479,0.34437359511904214
14,15_test,0.9497756958007812,0.49142459826946855,0.3257540840886977,0.911579249068501,0.3363828662083554
15,16_test,0.9432792663574219,0.5246027432298495,0.35556711307588956,0.8996600504441277,0.37025002256521344
16,17_test,0.9496345520019531,0.5145420450785013,0.34638613861386136,0.8083410351201479,0.3773798608489294
17,18_test,0.9413337707519531,0.4895615519930964,0.3241188362485717,0.910381434390816,0.3348011621572544
18,19_test,0.9371261596679688,0.4770275415661886,0.3132213842243427,0.9472026209677419,0.3187871077184054
19,20_test,0.9431686401367188,0.47501585735428853,0.311489047046862,0.9345535219079312,0.31843522630634036
