,Image,Acc,F1,Jaccard,Recall,Precision
0,image_089,0.9933242797851562,0.8786407766990292,0.7835497835497836,0.8359725521245711,0.9258988599824612
1,image_090,0.9928131103515625,0.8670430486944248,0.7652921390307712,0.8040575916230367,0.9407350689127105
2,image_091,0.9930381774902344,0.8831700915434351,0.790782987504299,0.8786141892752516,0.8877734877734877
3,image_092,0.9938240051269531,0.9016463155336856,0.8209070796460177,0.977991565629942,0.8363574890116082
4,image_093,0.9958915710449219,0.9357513571556403,0.8792600896860987,0.9704281118535016,0.9034673424720654
5,image_094,0.9751815795898438,0.6205528986352502,0.4498562489430069,0.8915703033350092,0.47589229805886035
6,image_095,0.9901237487792969,0.829682257746201,0.70893760539629,0.9935402552386955,0.7122204653264061
7,image_096,0.9959564208984375,0.9255199550309162,0.8613654198273607,0.9865188735769922,0.8716251985177342
8,image_097,0.99566650390625,0.9142512077294686,0.8420467185761957,0.961117282970957,0.8717431985029509
9,image_098,0.9965133666992188,0.9319940476190476,0.8726487390274488,0.9680061823802164,0.8985652797704448
10,image_099,0.9947547912597656,0.9218794386682575,0.8550801011804384,0.9860233349538162,0.8655713218820015
11,image_100,0.97845458984375,0.37947703801362337,0.23416949152542374,0.23416949152542374,1.0
12,image_101,0.9740715026855469,0.32749579499356885,0.1958116422148604,0.1958116422148604,1.0
13,image_102,0.9953193664550781,0.9260353246126952,0.8622586439155815,0.9909689072377758,0.8690880289658294
14,image_103,0.9562034606933594,0.4731794612949112,0.3099116427240488,0.9283399351818509,0.3175072356672209
15,image_104,0.9956398010253906,0.9007036747458952,0.8193456614509246,0.8627059410883674,0.9422028353326063
16,image_105,0.9949073791503906,0.8887778055486129,0.7998200629779577,0.8702887909936368,0.9080694586312564
17,image_106,0.9954719543457031,0.9216242984483327,0.8546411951996081,0.9591808686091259,0.8868979539966959
18,image_107,0.9957847595214844,0.9254637436762226,0.8612680477087257,0.9539702405785009,0.8986114749803511
19,image_108,0.994110107421875,0.8986876640419948,0.8160152526215443,0.9967976710334789,0.8181600955794505
20,image_109,0.9948654174804688,0.9110494316679885,0.8366306590605656,0.9886689615605279,0.8447303921568627
21,image_110,0.9935760498046875,0.8985297662087249,0.8157549234135667,0.9979922366483737,0.8170958904109589
